"CHANNEL NAME","NUMERIC FOLLOWERS","NUMERIC POTENTIAL REACH"
"Justin Bieber ","69700000.0","20900000.0"
"Super Simple Songs - Kids Songs ","37300000.0","11200000.0"
"The Weeknd ","28700000.0","8600000.0"
"WatchMojo.com ","24700000.0","7400000.0"
"Linus Tech Tips ","14900000.0","4500000.0"
"AzzyLand ","13400000.0","4000000.0"
"Typical Gamer ","13000000.0","3900000.0"
"Hacksmith Industries ","13000000.0","3900000.0"
"MrSuicideSheep ","12800000.0","3800000.0"
"HZHtube Kids Fun ","12100000.0","3600000.0"
"Baby Big Mouth Kids - Sing, Dance, Explore ","10500000.0","3200000.0"
"SAS-ASMR ","9400000.0","2800000.0"
"WatchMojo Español ","8000000.0","2400000.0"
"MostAmazingTop10 ","7700000.0","2300000.0"
"Simply Nailogical ","7500000.0","2300000.0"
"Domics ","7400000.0","2200000.0"
"Gloom ","7400000.0","2200000.0"
"MadFit ","7200000.0","2200000.0"
"Shroud ","6800000.0","2000000.0"
"Chris Ramsay ","6700000.0","2000000.0"
"Pokimane ","6700000.0","2000000.0"
"Nick Eh 30 ","6600000.0","2000000.0"
"Ayo & Teo ","6400000.0","1900000.0"
"CelineDion ","6300000.0","1900000.0"
"Kallmekris ","6200000.0","1900000.0"
"Matthew Santoro ","6200000.0","1900000.0"
"funnyplox ","6200000.0","1800000.0"
"Jester ","6100000.0","1800000.0"
"Chills ","6100000.0","1800000.0"
"Rehaan Records ","6000000.0","1800000.0"
"GamerGirl ","6000000.0","1800000.0"
"Peter McKinnon ","5800000.0","1700000.0"
"GunVsGun ","5700000.0","1700000.0"
"Bajan Canadian ","5700000.0","1700000.0"
"BENOFTHEWEEK ","5700000.0","1700000.0"
"JustDustin ","5500000.0","1600000.0"
"ElectroBOOM ","5200000.0","1600000.0"
"ExplodingTNT ","5100000.0","1500000.0"
"Furious Pete ","5100000.0","1500000.0"
"JoBlo Movie Clips ","5000000.0","1500000.0"
"MDMotivator ","4800000.0","1400000.0"
"Jeremy Ethier ","4700000.0","1400000.0"
"MsMojo ","4700000.0","1400000.0"
"ENGLISH with James · engVid ","4600000.0","1400000.0"
"NileRed ","4600000.0","1400000.0"
"AntsCanada ","4500000.0","1400000.0"
"Super Simple ABCs ","4500000.0","1300000.0"
"MY BOLLYWOOD BODY ","4400000.0","1300000.0"
"RonaldOMG ","4400000.0","1300000.0"
"How To Cake It ","4300000.0","1300000.0"
"Walk off the Earth ","4300000.0","1300000.0"
"Stromedy ","4300000.0","1300000.0"
"Dan Lok ","4200000.0","1300000.0"
"Kurtis Conner ","4200000.0","1200000.0"
"Tate McRae ","4100000.0","1200000.0"
"English with Emma · engVid ","4100000.0","1200000.0"
"Two Super Sisters 2 ","4000000.0","1200000.0"
"Cartooning Club How to Draw ","3900000.0","1200000.0"
"SickickMusic ","3900000.0","1200000.0"
"MAGIC! ","3900000.0","1200000.0"
"English Speeches ","3800000.0","1200000.0"
"Top15s ","3800000.0","1100000.0"
"Motivation2Study ","3800000.0","1100000.0"
"Little World - Kids Songs & Nursery Rhymes ","3800000.0","1100000.0"
"Casually Explained ","3800000.0","1100000.0"
"Ali Gatie ","3800000.0","1100000.0"
"Twi Shorts ","3800000.0","1100000.0"
"Anna McNulty ","3700000.0","1100000.0"
"Disguised Toast ","3700000.0","1100000.0"
"BeforeTheyWereFamous ","3600000.0","1100000.0"
"AldosWorld TV ","3600000.0","1100000.0"
"RCSparks Studio ","3600000.0","1100000.0"
"DavidParody ","3600000.0","1100000.0"
"UnusualVideos ","3600000.0","1100000.0"
"Phone Repair Guru ","3500000.0","1100000.0"
"Ricky Berwick ","3500000.0","1100000.0"
"cutepolish ","3400000.0","1000000.0"
"Sally FunTube ","3400000.0","1000000.0"
"Motivation Madness ","3300000.0","1000000.0"
"Star Wars Theory ","3300000.0","993000.0"
"Joe Porter ","3300000.0","987000.0"
"SomeOrdinaryGamers ","3300000.0","984000.0"
"Shahveer Jafry ","3300000.0","975000.0"
"Global News ","3200000.0","972000.0"
"Jeff Nippard ","3200000.0","969000.0"
"Steve Terreberry ","3200000.0","966000.0"
"FaZe Pamaj ","3200000.0","963000.0"
"Troydan ","3100000.0","939000.0"
"Graser ","3100000.0","924000.0"
"Step News Agency ","3100000.0","921000.0"
"SpyCakes ","3000000.0","912000.0"
"Adam’s English Lessons · engVid ","3000000.0","909000.0"
"Gold Coast Music ","3000000.0","906000.0"
"Jessii Vee ","3000000.0","885000.0"
"Kings and Generals ","3000000.0","885000.0"
"YouAlwaysWin ","2900000.0","882000.0"
"TheSmithPlays ","2900000.0","879000.0"
"Super Simple Español - Canciones Infantiles Y Más ","2900000.0","867000.0"
"Orange Juice Gaming ","2800000.0","843000.0"
"ItsYeBoi ","2800000.0","840000.0"
